time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528811812743,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812756,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812770,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812783,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812796,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812809,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812822,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812836,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812849,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812864,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812876,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812889,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812903,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812923,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812942,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812956,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812969,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812983,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811812996,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813009,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813023,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813036,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813063,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813076,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813089,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813103,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813123,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813142,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813156,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813169,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813183,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813196,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
1528811813209,0.4961365,0.3757198,-0.6803327,0.483188,0.3782969,-0.6446221,0.4777761,0.3771854,-0.6204721,0.5158712,0.4067749,-0.6185438,0.5050188,0.3942154,-0.5997012,0.4983782,0.3787575,-0.6019015,0.5326319,0.3950547,-0.6183029,0.5172518,0.3790682,-0.6000418,0.5063313,0.3634142,-0.6048416,0.549605,0.3813643,-0.625618,0.5341327,0.3654926,-0.609054,0.5213088,0.3519436,-0.6138362,0.5633842,0.3684949,-0.6338215,0.5511166,0.3587264,-0.6198434,0.5387429,0.3503975,-0.6233534,0.532631,0.3825839,-0.6697606,0.02778096,
